  Lab3.cpp
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(41,5): error C4235: использовано нестандартное расширение: ключевое слово "__asm" данной архитектурой не поддерживается
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(44,13): error C2065: ebx: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(46,9): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "movq"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(46,9): error C2065: movq: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(46,14): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "mm0"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(46,14): error C2065: mm0: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(47,9): error C2760: синтаксическая ошибка: непредвиденный элемент "movq". Ожидается "{"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(47,14): error C2065: mm1: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(49,9): error C2760: синтаксическая ошибка: непредвиденный элемент "movq". Ожидается "{"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(49,14): error C2065: mm2: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(49,19): error C2065: mm0: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(50,9): error C2146: синтаксическая ошибка: отсутствие "," перед идентификатором "movq"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(65,11): error C2065: first: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(65,17): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "part"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(65,17): error C2065: part: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(65,22): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "of"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(65,22): error C2065: of: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(65,25): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "result"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(65,25): error C2065: result: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(65,32): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "is"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(65,32): error C2065: is: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(65,35): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "in"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(65,35): error C2065: in: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(65,38): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "mm0"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(65,38): error C2065: mm0: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(66,11): error C2065: second: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(66,18): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "part"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(66,18): error C2065: part: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(66,23): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "is"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(66,23): error C2065: is: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(66,26): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "in"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(66,26): error C2065: in: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(66,29): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "mm1"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(66,29): error C2065: mm1: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(68,11): error C2065: adding: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(68,18): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "C"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(68,20): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "to"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(68,20): error C2065: to: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(68,23): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "prev"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(68,23): error C2065: prev: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(68,28): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "result"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(68,28): error C2065: result: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(69,9): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "lea"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(69,9): error C2065: lea: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(69,13): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "eax"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(69,13): error C2065: eax: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(70,9): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "movq"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(70,9): error C2065: movq: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(70,14): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "mm2"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(70,14): error C2065: mm2: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(71,9): error C2760: синтаксическая ошибка: непредвиденный элемент "movq". Ожидается "{"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(71,14): error C2065: mm3: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(71,19): error C2065: mm2: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(72,9): error C2146: синтаксическая ошибка: отсутствие "," перед идентификатором "pxor"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(80,11): error C2065: first: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(80,17): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "part"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(80,17): error C2065: part: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(80,22): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "of"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(80,22): error C2065: of: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(80,25): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "result"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(80,25): error C2065: result: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(80,32): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "is"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(80,32): error C2065: is: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(80,35): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "in"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(80,35): error C2065: in: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(80,38): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "mm0"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(80,38): error C2065: mm0: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(81,11): error C2065: second: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(81,18): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "part"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(81,18): error C2065: part: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(81,23): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "is"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(81,23): error C2065: is: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(81,26): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "in"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(81,26): error C1003: число ошибок превышает 100; остановка компиляции
